A0A1B0GTU1	ZC3H11B
Q9H0V9	LMAN2L
Q9H0W5	CCDC8
Q9H0W8	SMG9
Q9H0W9	C11orf54
Q9H0X9	OSBPL5
Q9H147	DNTTIP1
Q9H160	ING2
Q9H173	SIL1
Q9H1A3	METTL9
Q9H1A4	ANAPC1
Q9H1B5	XYLT2
Q9H1B7	IRF2BPL
Q9H1C4	UNC93B1
Q9H1D9	POLR3F
Q9H1E3	NUCKS1
Q9H1E5	TMX4
Q9H1H9	KIF13A
Q9H1I8	ASCC2
Q9H1K1	ISCU
Q9H1N7	SLC35B3
Q9H1P3	OSBPL2
Q9H1U9	SLC25A51
Q9H1X3	DNAJC25
Q9H1Y0	ATG5
Q9H1Z9	TSPAN10
Q9H223	EHD4
Q9H267	VPS33B
Q9H269	VPS16
Q9H270	VPS11
Q9H299	SH3BGRL3
Q9H2A2	ALDH8A1
Q9H2C0	GAN
Q9H2C2	ARV1
Q9H2D1	SLC25A32
Q9H2D6	TRIOBP
Q9H2G2	SLK
Q9H2H8	PPIL3
Q9H2H9	SLC38A1
Q9H2J4	PDCL3
Q9H2J7	SLC6A15
Q9H2K8	TAOK3
Q9H2M9	RAB3GAP2
Q9H2P0	ADNP
Q9H2P9	DPH5
Q9H2U1	DHX36
Q9H2U2	PPA2
Q9H2V7	SPNS1
Q9H2W6	MRPL46
Q9H2Y7	ZNF106
Q9H300	PARL
Q9H307	PNN
Q9H330	TMEM245
Q9H334	FOXP1
Q9H3C7	GGNBP2
Q9H3E2	SNX25
Q9H3F6	KCTD10
Q9H3G5	CPVL
Q9H3H1	TRIT1
Q9H3H5	DPAGT1
Q9H3K2	GHITM
Q9H3K6	BOLA2*
Q9H3L0	MMADHC
Q9H3N1	TMX1
Q9H3P2	NELFA
Q9H3P7	ACBD3
Q9H3R1	NDST4
Q9H3R5	CENPH
Q9H3S7	PTPN23
Q9H3U1	UNC45A
Q9H410	DSN1
Q9H425	C1orf198
Q9H444	CHMP4B
Q9H446	RWDD1
Q9H488	POFUT1
Q9H490	PIGU
Q9H496	TOR1AIP2
Q9H497	TOR3A
Q9H4A3	WNK1
Q9H4A4	RNPEP
Q9H4A5	GOLPH3L
Q9H4A6	GOLPH3
Q9H4H8	FAM83D
Q9H4I3	TRABD
Q9H4I9	SMDT1
Q9H4L4	SENP3
Q9H4L5	OSBPL3
Q9H4L7	SMARCAD1
Q9H4M9	EHD1
Q9H501	ESF1
Q9H553	ALG2
Q9H582	ZNF644
Q9H583	HEATR1
Q9H5H4	ZNF768
Q9H5I1	SUV39H2
Q9H5K3	POMK
Q9H5N1	RABEP2
Q9H5Q4	TFB2M
Q9H5V9	CXorf56
Q9H5Z1	DHX35
Q9H649	NSUN3
Q9H6D7	HAUS4
Q9H6E4	CCDC134
Q9H6E5	TUT1
Q9H6F5	CCDC86
Q9H6H4	REEP4
Q9H6K4	OPA3
Q9H6R0	DHX33
Q9H6R4	NOL6
Q9H6R6	ZDHHC6
Q9H6R7	WDCP
Q9H6S0	YTHDC2
Q9H6T3	RPAP3
Q9H6U6	BCAS3
Q9H6U8	ALG9
Q9H6V9	LDAH
Q9H6W3	RIOX1
Q9H6Y2	WDR55
Q9H6Z4	RANBP3
Q9H773	DCTPP1
Q9H7B2	RPF2
Q9H7B4	SMYD3
Q9H7C9	AAMDC
Q9H7D7	WDR26
Q9H7E9	C8orf33
Q9H7F0	ATP13A3
Q9H7F4	TMEM185B
Q9H7H0	METTL17
Q9H7L9	SUDS3
Q9H7N4	SCAF1
Q9H7S9	ZNF703
Q9H7Z3	NRDE2
Q9H7Z7	PTGES2
Q9H813	TMEM206
Q9H814	PHAX
Q9H845	ACAD9
Q9H853	TUBA4B
Q9H857	NT5DC2
Q9H871	RMND5A
Q9H8G2	CAAP1
Q9H8H0	NOL11
Q9H8H2	DDX31
Q9H8H3	METTL7A
Q9H8K7	C10orf88
Q9H8M2	BRD9
Q9H8M7	MINDY3
Q9H8S9	MOB1A
Q9H8T0	AKTIP
Q9H8V3	ECT2
Q9H8Y5	ANKZF1
Q9H8Y8	GORASP2
Q9H900	ZWILCH
Q9H903	MTHFD2L
Q9H910	JPT2
Q9H920	RNF121
Q9H936	SLC25A22
Q9H944	MED20
Q9H967	WDR76
Q9H974	QTRT2
Q9H977	WDR54
Q9H981	ACTR8
Q9H993	ARMT1
Q9H999	PANK3
Q9H9A5	CNOT10
Q9H9A6	LRRC40
Q9H9A7	RMI1
Q9H9B1	EHMT1
Q9H9B4	SFXN1
Q9H9C1	VIPAS39
Q9H9E3	COG4
Q9H9F9	ACTR5
Q9H9G7	AGO3
Q9H9H4	VPS37B
Q9H9J2	MRPL44
Q9H9L3	ISG20L2
Q9H9P8	L2HGDH
Q9H9Q2	COPS7B
Q9H9S3	SEC61A2
Q9H9S4	CAB39L
Q9H9S5	FKRP
Q9H9T3	ELP3
Q9H9Y2	RPF1
Q9H9Y6	POLR1B
Q9HA64	FN3KRP
Q9HA65	TBC1D17
Q9HA77	CARS2
Q9HA82	CERS4
Q9HAD4	WDR41
Q9HAF1	MEAF6
Q9HAS0	C17orf75
Q9HAT2	SIAE
Q9HAU0	PLEKHA5
Q9HAU5	UPF2
Q9HAV0	GNB4
Q9HAV4	XPO5
Q9HAV7	GRPEL1
Q9HAW4	CLSPN
Q9HAZ1	CLK4
Q9HB07	MYG1
Q9HB09	BCL2L12
Q9HB40	SCPEP1
Q9HB71	CACYBP
Q9HB90	RRAGC
Q9HBE1	PATZ1
Q9HBH5	RDH14
Q9HBI1	PARVB
Q9HBK9	AS3MT
Q9HBL7	PLGRKT
Q9HBM0	VEZT
Q9HBM1	SPC25
Q9HBM6	TAF9B
Q9HBU6	ETNK1
Q9HC07	TMEM165
Q9HC21	SLC25A19
Q9HC35	EML4
Q9HC36	MRM3
Q9HC38	GLOD4
Q9HC52	CBX8
Q9HCC0	MCCC2
Q9HCD5	NCOA5
Q9HCE1	MOV10
Q9HCE5	METTL14
Q9HCG8	CWC22
Q9HCJ1	ANKH
Q9HCK8	CHD8
Q9HCL2	GPAM
Q9HCM3	KIAA1549
Q9HCM4	EPB41L5
Q9HCN4	GPN1
Q9HCN8	SDF2L1
Q9HCS7	XAB2
Q9HCU5	PREB
Q9HD15	SRA1
Q9HD20	ATP13A1
Q9HD23	MRS2
Q9HD26	GOPC
Q9HD33	MRPL47
Q9HD42	CHMP1A
Q9HD45	TM9SF3
Q9HD47	RANGRF
Q9HDC9	APMAP
Q9NNW5	WDR6
Q9NNW7	TXNRD2
Q9NP08	HMX1
Q9NP50	SINHCAF
Q9NP58	ABCB6
Q9NP61	ARFGAP3
Q9NP64	ZCCHC17
Q9NP66	HMG20A
Q9NP72	RAB18
Q9NP73	ALG13
Q9NP77	SSU72
Q9NP79	VTA1
Q9NP80	PNPLA8
Q9NP81	SARS2
Q9NP85	NPHS2
Q9NP90	RAB9B
Q9NP92	MRPS30
Q9NP97	DYNLRB1
Q9NPA0	EMC7
Q9NPA8	ENY2
Q9NPB0	SAYSD1
Q9NPD3	EXOSC4
Q9NPD8	UBE2T
Q9NPE3	NOP10
Q9NPF0	CD320
Q9NPF4	OSGEP
Q9NPF5	DMAP1
Q9NPG3	UBN1
Q9NPH0	ACP6
Q9NPH2	ISYNA1
Q9NPI1	BRD7
Q9NPI6	DCP1A
Q9NPJ3	ACOT13
Q9NPJ6	MED4
Q9NPL8	TIMMDC1
Q9NPQ8	RIC8A
Q9NPR9	GPR108
Q9NQ11	ATP13A2
Q9NQ29	LUC7L
Q9NQ48	LZTFL1
Q9NQ50	MRPL40
Q9NQ55	PPAN
Q9NQ88	TIGAR
Q9NQC3	RTN4
Q9NQE9	HINT3
Q9NQG5	RPRD1B
Q9NQG6	MIEF1
Q9NQH7	XPNPEP3
Q9NQP4	PFDN4
Q9NQR4	NIT2
Q9NQS1	AVEN
Q9NQS7	INCENP
Q9NQT4	EXOSC5
Q9NQT5	EXOSC3
Q9NQT8	KIF13B
Q9NQW6	ANLN
Q9NQW7	XPNPEP1
Q9NQX3	GPHN
Q9NQX4	MYO5C
Q9NQX7	ITM2C
Q9NQZ2	UTP3
Q9NQZ5	STARD7
Q9NQZ7	ENTPD7
Q9NR09	BIRC6
Q9NR12	PDLIM7
Q9NR28	DIABLO
Q9NR30	DDX21
Q9NR31	SAR1A
Q9NR33	POLE4
Q9NR45	NANS
Q9NR46	SH3GLB2
Q9NR48	ASH1L
Q9NR50	EIF2B3
Q9NR56	MBNL1
Q9NR77	PXMP2
Q9NRA0	SPHK2
Q9NRA8	EIF4ENIF1
Q9NRB3	CHST12
Q9NRC1	ST7
Q9NRD5	PICK1
Q9NRF8	CTPS2
Q9NRF9	POLE3
Q9NRG0	CHRAC1
Q9NRG1	PRTFDC1
Q9NRG4	SMYD2
Q9NRG7	SDR39U1
Q9NRG9	AAAS
Q9NRK6	ABCB10
Q9NRL2	BAZ1A
Q9NRL3	STRN4
Q9NRM2	ZNF277
Q9NRN7	AASDHPPT
Q9NRP0	OSTC
Q9NRP2	CMC2
Q9NRR4	DROSHA
Q9NRR5	UBQLN4
Q9NRS6	SNX15
Q9NRV9	HEBP1
Q9NRW1	RAB6B
Q9NRW3	APOBEC3C
Q9NRW7	VPS45
Q9NRX1	PNO1
Q9NRX2	MRPL17
Q9NRX4	PHPT1
Q9NRX5	SERINC1
Q9NRX6	TMEM167B
Q9NRY4	ARHGAP35
Q9NRY5	FAM114A2
Q9NRZ5	AGPAT4
Q9NRZ9	HELLS
Q9NS69	TOMM22
Q9NS73	MBIP
Q9NS86	LANCL2
Q9NS87	KIF15
Q9NS91	RAD18
Q9NSC2	SALL1
Q9NSD9	FARSB
Q9NSE4	IARS2
Q9NSI2	FAM207A
Q9NSI6	BRWD1
Q9NSK0	KLC4
Q9NSP4	CENPM
Q9NSV4	DIAPH3
Q9NT62	ATG3
Q9NT99	LRRC4B
Q9NTG7	SIRT3
Q9NTI5	PDS5B
Q9NTJ3	SMC4
Q9NTJ4	MAN2C1
Q9NTJ5	SACM1L
Q9NTK5	OLA1
Q9NTM9	CUTC
Q9NTX5	ECHDC1
Q9NTZ6	RBM12
Q9NU22	MDN1
Q9NU23	LYRM2
Q9NUA8	ZBTB40
Q9NUB1	ACSS1
Q9NUD5	ZCCHC3
Q9NUG6	PDRG1
Q9NUH8	TMEM14B
Q9NUI1	DECR2
Q9NUJ1	ABHD10
Q9NUJ3	TCP11L1
Q9NUL3	STAU2
Q9NUL7	DDX28
Q9NUM4	TMEM106B
Q9NUN5	LMBRD1
Q9NUP1	BLOC1S4
Q9NUP9	LIN7C
Q9NUQ2	AGPAT5
Q9NUQ3	TXLNG
Q9NUQ6	SPATS2L
Q9NUQ7	UFSP2
Q9NUQ8	ABCF3
Q9NUQ9	FAM49B
Q9NUT2	ABCB8
Q9NUU6	FAM105A
Q9NUU7	DDX19A
Q9NUW8	TDP1
Q9NUY8	TBC1D23
Q9NV06	DCAF13
Q9NV31	IMP3
Q9NV56	MRGBP
Q9NV66	TYW1
Q9NV70	EXOC1
Q9NV88	INTS9
Q9NV96	TMEM30A
Q9NVA1	UQCC1
Q9NVA2	SEPT11
Q9NVC6	MED17
Q9NVD3	SETD4
Q9NVD7	PARVA
Q9NVE7	PANK4
Q9NVF9	ETNK2
Q9NVG8	TBC1D13
Q9NVH0	EXD2
Q9NVH1	DNAJC11
Q9NVH2	INTS7
Q9NVH6	TMLHE
Q9NVI1	FANCI
Q9NVI7	ATAD3A
Q9NVJ2	ARL8B
Q9NVM6	DNAJC17
Q9NVM9	INTS13
Q9NVN8	GNL3L
Q9NVP1	DDX18
Q9NVP2	ASF1B
Q9NVQ4	FAIM
Q9NVR0	KLHL11
Q9NVR2	INTS10
Q9NVR5	DNAAF2
Q9NVR7	TBCCD1
Q9NVS2	MRPS18A
Q9NVS9	PNPO
Q9NVT9	ARMC1
Q9NVU0	POLR3E
Q9NVU7	SDAD1
Q9NVV0	TMEM38B
Q9NVV4	MTPAP
Q9NVX0	HAUS2
Q9NVX2	NLE1
Q9NVZ3	NECAP2
Q9NW08	POLR3B
Q9NW13	RBM28
Q9NW15	ANO10
Q9NW64	RBM22
Q9NW68	BSDC1
Q9NW81	DMAC2
Q9NW82	WDR70
Q9NWB6	ARGLU1
Q9NWH9	SLTM
Q9NWL6	ASNSD1
Q9NWM8	FKBP14
Q9NWR8	MCUB
Q9NWS0	PIH1D1
Q9NWS8	RMND1
Q9NWT1	PAK1IP1
Q9NWT6	HIF1AN
Q9NWU1	OXSM
Q9NWU2	GID8
Q9NWU5	MRPL22
Q9NWV4	C1orf123
Q9NWV8	BABAM1
Q9NWW5	CLN6
Q9NWX5	ASB6
Q9NWX6	THG1L
Q9NWY4	HPF1
Q9NWZ8	GEMIN8
Q9NX00	TMEM160
Q9NX08	COMMD8
Q9NX14	NDUFB11
Q9NX18	SDHAF2
Q9NX20	MRPL16
Q9NX24	NHP2
Q9NX40	OCIAD1
Q9NX46	ADPRHL2
Q9NX47	MARCH5
Q9NX55	HYPK
Q9NX58	LYAR
Q9NX61	TMEM161A
Q9NX62	IMPAD1
Q9NX63	CHCHD3
Q9NX74	DUS2
Q9NX76	CMTM6
Q9NXB9	ELOVL2
Q9NXC5	MIOS
Q9NXE4	SMPD4
Q9NXE8	CWC25
Q9NXF1	TEX10
Q9NXF7	DCAF16
Q9NXG0	CNTLN
Q9NXG2	THUMPD1
Q9NXG6	P4HTM
Q9NXH9	TRMT1
Q9NXK8	FBXL12
Q9NXN4	GDAP2
Q9NXR1	NDE1
Q9NXR7	BABAM2
Q9NXS2	QPCTL
Q9NXU5	ARL15
Q9NXV2	KCTD5
Q9NXV6	CDKN2AIP
Q9NXW2	DNAJB12
Q9NXW9	ALKBH4
Q9NXX6	NSMCE4A
Q9NY12	GAR1
Q9NY27	PPP4R2
Q9NY33	DPP3
Q9NY47	CACNA2D2
Q9NY61	AATF
Q9NY64	SLC2A8
Q9NY93	DDX56
Q9NY97	B3GNT2
Q9NYA4	MTMR4
Q9NYB0	TERF2IP
Q9NYB9	ABI2
Q9NYF8	BCLAF1
Q9NYH9	UTP6
Q9NYK5	MRPL39
Q9NYL2	MAP3K20
Q9NYL9	TMOD3
Q9NYP7	ELOVL5
Q9NYU1	UGGT2
Q9NYU2	UGGT1
Q9NYV4	CDK12
Q9NYV6	RRN3
Q9NYY8	FASTKD2
Q9NYZ3	GTSE1
Q9NZ01	TECR
Q9NZ08	ERAP1
Q9NZ09	UBAP1
Q9NZ32	ACTR10
Q9NZ43	USE1
Q9NZ45	CISD1
Q9NZ52	GGA3
Q9NZ63	C9orf78
Q9NZ71	RTEL1
Q9NZB2	FAM120A
Q9NZB8	MOCS1
Q9NZC3	GDE1
Q9NZC9	SMARCAL1
Q9NZD2	GLTP
Q9NZD8	SPG21
Q9NZE8	MRPL35
Q9NZI7	UBP1
Q9NZI8	IGF2BP1
Q9NZJ0	DTL
Q9NZJ4	SACS
Q9NZJ6	COQ3
Q9NZJ7	MTCH1
Q9NZJ9	NUDT4
Q9NZL4	HSPBP1
Q9NZL9	MAT2B
Q9NZM3	ITSN2
Q9NZM5	NOP53
Q9NZN3	EHD3
Q9NZN4	EHD2
Q9NZN5	ARHGEF12
Q9NZN8	CNOT2
Q9NZQ3	NCKIPSD
Q9NZT1	CALML5
Q9NZT2	OGFR
Q9NZW5	MPP6
Q9NZZ3	CHMP5
Q9P000	COMMD9
Q9P013	CWC15
Q9P015	MRPL15
Q9P016	THYN1
Q9P031	CCDC59
Q9P032	NDUFAF4
Q9P035	HACD3
Q9P0B6	CCDC167
Q9P0I2	EMC3
Q9P0J0	NDUFA13
Q9P0J1	PDP1
Q9P0J7	KCMF1
Q9P0K7	RAI14
Q9P0L0	VAPA
Q9P0L2	MARK1
Q9P0M6	H2AFY2
Q9P0M9	MRPL27
Q9P0S2	COX16
Q9P0S9	TMEM14C
Q9P0T7	TMEM9
Q9P0U1	TOMM7
Q9P0U3	SENP1
Q9P0U4	CXXC1
Q9P0V3	SH3BP4
Q9P0V9	SEPT10
Q9P1F3	ABRACL
Q9P1Y5	CAMSAP3
Q9P1Y6	PHRF1
Q9P1Z2	CALCOCO1
Q9P206	KIAA1522
Q9P209	CEP72
Q9P246	STIM2
Q9P253	VPS18
Q9P258	RCC2
Q9P260	KIAA1468
Q9P265	DIP2B
Q9P266	JCAD
Q9P270	SLAIN2
Q9P273	TENM3
Q9P275	USP36
Q9P287	BCCIP
Q9P289	STK26
Q9P2B2	PTGFRN
Q9P2B4	CTTNBP2NL
Q9P2D0	IBTK
Q9P2D1	CHD7
Q9P2D3	HEATR5B
Q9P2E5	CHPF2
Q9P2E9	RRBP1
Q9P2I0	CPSF2
Q9P2J5	LARS
Q9P2K2	TXNDC16
Q9P2K5	MYEF2
Q9P2K8	EIF2AK4
Q9P2L0	WDR35
Q9P2M7	CGN
Q9P2N5	RBM27
Q9P2N6	KANSL3
Q9P2P6	STARD9
Q9P2R3	ANKFY1
Q9P2R7	SUCLA2
Q9P2S5	WRAP73
Q9P2T1	GMPR2
Q9P2W9	STX18
Q9P2X3	IMPACT
Q9UBB4	ATXN10
Q9UBB5	MBD2
Q9UBB6	NCDN
Q9UBB9	TFIP11
Q9UBC1	NFKBIL1
Q9UBC2	EPS15L1
Q9UBC3	DNMT3B
Q9UBD5	ORC3
Q9UBE0	SAE1
Q9UBF2	COPG2
Q9UBF8	PI4KB
Q9UBG0	MRC2
Q9UBI1	COMMD3
Q9UBI6	GNG12
Q9UBK8	MTRR
Q9UBK9	UXT
Q9UBL3	ASH2L
Q9UBM7	DHCR7
Q9UBN7	HDAC6
Q9UBP0	SPAST
Q9UBP6	METTL1
Q9UBQ0	VPS29
Q9UBQ5	EIF3K
Q9UBQ7	GRHPR
Q9UBR2	CTSZ
Q9UBS4	DNAJB11
Q9UBS8	RNF14
Q9UBT2	UBA2
Q9UBT7	CTNNAL1
Q9UBU6	FAM8A1
Q9UBU8	MORF4L1
Q9UBU9	NXF1
Q9UBV2	SEL1L
Q9UBV7	B4GALT7
Q9UBV8	PEF1
Q9UBW7	ZMYM2
Q9UBW8	COPS7A
Q9UBX1	CTSF
Q9UBX3	SLC25A10
Q9UBZ4	APEX2
Q9UBZ9	REV1
Q9UDR5	AASS
Q9UDW1	UQCR10
Q9UDX5	MTFP1
Q9UDY2	TJP2
Q9UDY4	DNAJB4
Q9UDY8	MALT1
Q9UEE9	CFDP1
Q9UEG4	ZNF629
Q9UER7	DAXX
Q9UET6	FTSJ1
Q9UEU0	VTI1B
Q9UEY8	ADD3
Q9UFC0	LRWD1
Q9UFF9	CNOT8
Q9UFG5	C19orf25
Q9UFH2	DNAH17
Q9UFN0	NIPSNAP3A
Q9UFW8	CGGBP1
Q9UG56	PISD
Q9UG63	ABCF2
Q9UGH3	SLC23A2
Q9UGI8	TES
Q9UGJ1	TUBGCP4
Q9UGL1	KDM5B
Q9UGM3	DMBT1
Q9UGM6	WARS2
Q9UGN5	PARP2
Q9UGP4	LIMD1
Q9UGP8	SEC63
Q9UGR2	ZC3H7B
Q9UGU0	TCF20
Q9UGU5	HMGXB4
Q9UGV2	NDRG3
Q9UH03	SEPT3
Q9UH17	APOBEC3B
Q9UH62	ARMCX3
Q9UH65	SWAP70
Q9UH99	SUN2
Q9UHA3	RSL24D1
Q9UHA4	LAMTOR3
Q9UHB6	LIMA1
Q9UHB7	AFF4
Q9UHB9	SRP68
Q9UHD1	CHORDC1
Q9UHD2	TBK1
Q9UHD8	SEPT9
Q9UHD9	UBQLN2
Q9UHF7	TRPS1
Q9UHG3	PCYOX1
Q9UHI6	DDX20
Q9UHI8	ADAMTS1
Q9UHJ3	SFMBT1
Q9UHJ6	SHPK
Q9UHK0	NUFIP1
Q9UHN1	POLG2
Q9UHN6	TMEM2
Q9UHQ4	BCAP29
Q9UHQ9	CYB5R1
Q9UHR4	BAIAP2L1
Q9UHR5	SAP30BP
Q9UHR6	ZNHIT2
Q9UHV7	MED13
Q9UHV9	PFDN2
Q9UHW9	SLC12A6
Q9UHX1	PUF60
Q9UHY1	NRBP1
Q9UHY7	ENOPH1
Q9UI09	NDUFA12
Q9UI10	EIF2B4
Q9UI12	ATP6V1H
Q9UI14	RABAC1
Q9UI26	IPO11
Q9UI30	TRMT112
Q9UI36	DACH1
Q9UI42	CPA4
Q9UI43	MRM2
Q9UIA9	XPO7
Q9UIC8	LCMT1
Q9UID3	VPS51
Q9UIF9	BAZ2A
Q9UIG0	BAZ1B
Q9UII2	ATPIF1
Q9UII4	HERC5
Q9UIJ7	AK3
Q9UIL1	SCOC
Q9UIQ6	LNPEP
Q9UIS9	MBD1
Q9UIU6	SIX4
Q9UIV1	CNOT7
Q9UIW2	PLXNA1
Q9UJ14	GGT7
Q9UJ41	RABGEF1
Q9UJ70	NAGK
Q9UJ83	HACL1
Q9UJA2	CRLS1
Q9UJA3	MCM8
Q9UJA5	TRMT6
Q9UJC3	HOOK1
Q9UJC5	SH3BGRL2
Q9UJF2	RASAL2
Q9UJG1	MOSPD1
Q9UJK0	TSR3
Q9UJS0	SLC25A13
Q9UJU6	DBNL
Q9UJV9	DDX41
Q9UJW0	DCTN4
Q9UJX2	CDC23
Q9UJX3	ANAPC7
Q9UJX4	ANAPC5
Q9UJX5	ANAPC4
Q9UJX6	ANAPC2
Q9UJY4	GGA2
Q9UJY5	GGA1
Q9UJZ1	STOML2
Q9UK39	NOCT
Q9UK41	VPS28
Q9UK45	LSM7
Q9UK59	DBR1
Q9UK61	FAM208A
Q9UK73	FEM1B
Q9UK97	FBXO9
Q9UK99	FBXO3
Q9UKA2	FBXL4
Q9UKA9	PTBP2
Q9UKB1	FBXW11
Q9UKD2	MRTO4
Q9UKE5	TNIK
Q9UKF6	CPSF3
Q9UKG1	APPL1
Q9UKG9	CROT
Q9UKI8	TLK1
Q9UKJ3	GPATCH8
Q9UKK3	PARP4
Q9UKK9	NUDT5
Q9UKL0	RCOR1
Q9UKL3	CASP8AP2
Q9UKL6	PCTP
Q9UKM7	MAN1B1
Q9UKM9	RALY
Q9UKN7	MYO15A
Q9UKN8	GTF3C4
Q9UKR5	ERG28
Q9UKS6	PACSIN3
Q9UKU0	ACSL6
Q9UKU7	ACAD8
Q9UKV3	ACIN1
Q9UKV5	AMFR
Q9UKV8	AGO2
Q9UKX7	NUP50
Q9UKY7	CDV3
Q9UKZ1	CNOT11
Q9UL01	DSE
Q9UL03	INTS6
Q9UL15	BAG5
Q9UL18	AGO1
Q9UL25	RAB21
Q9UL26	RAB22A
Q9UL33	TRAPPC2L
Q9UL40	ZNF346
Q9UL42	PNMA2
Q9UL46	PSME2
Q9UL54	TAOK2
Q9UL63	MKLN1
Q9ULA0	DNPEP
Q9ULC3	RAB23
Q9ULC4	MCTS1
Q9ULD0	OGDHL
Q9ULD4	BRPF3
Q9ULE6	PALD1
Q9ULF5	SLC39A10
Q9ULG1	INO80
Q9ULH0	KIDINS220
Q9ULH1	ASAP1
Q9ULH7	MKL2
Q9ULI0	ATAD2B
Q9ULI1	NWD2
Q9ULJ7	ANKRD50
Q9ULJ8	PPP1R9A
Q9ULK4	MED23
Q9ULK5	VANGL2
Q9ULL5	PRR12
Q9ULM3	YEATS2
Q9ULM6	CNOT6
Q9ULP9	TBC1D24
Q9ULR0	ISY1
Q9ULS5	TMCC3
Q9ULT8	HECTD1
Q9ULU4	ZMYND8
Q9ULU8	CADPS
Q9ULV3	CIZ1
Q9ULV4	CORO1C
Q9ULW0	TPX2
Q9ULW3	ABT1
Q9ULX3	NOB1
Q9ULX6	AKAP8L
Q9UM00	TMCO1
Q9UM13	ANAPC10
Q9UM19	HPCAL4
Q9UM22	EPDR1
Q9UM54	MYO6
Q9UMN6	KMT2B
Q9UMR2	DDX19B
Q9UMR5	PPT2
Q9UMS0	NFU1
Q9UMS4	PRPF19
Q9UMX0	UBQLN1
Q9UMX1	SUFU
Q9UMX5	NENF
Q9UMY1	NOL7
Q9UMY4	SNX12
Q9UMZ2	SYNRG
Q9UN36	NDRG2
Q9UN37	VPS4A
Q9UN81	L1RE1
Q9UN86	G3BP2
Q9UNA1	ARHGAP26
Q9UNE7	STUB1
Q9UNF0	PACSIN2
Q9UNF1	MAGED2
Q9UNH7	SNX6
Q9UNI6	DUSP12
Q9UNK0	STX8
Q9UNK9	ANGEL1
Q9UNL2	SSR3
Q9UNM6	PSMD13
Q9UNN5	FAF1
Q9UNN8	PROCR
Q9UNP9	PPIE
Q9UNQ2	DIMT1
Q9UNS1	TIMELESS
Q9UNS2	COPS3
Q9UNW1	MINPP1
Q9UNW9	NOVA2
Q9UNX3	RPL26L1
Q9UNX4	WDR3
Q9UNY4	TTF2
Q9UNZ2	NSFL1C
Q9UNZ5	C19orf53
Q9UP83	COG5
Q9UP95	SLC12A4
Q9UPM8	AP4E1
Q9UPM9	B9D1
Q9UPN3	MACF1
Q9UPN4	CEP131
Q9UPN6	SCAF8
Q9UPN7	PPP6R1
Q9UPN9	TRIM33
Q9UPP1	PHF8
Q9UPQ3	AGAP1
Q9UPQ4	TRIM35
Q9UPQ8	DOLK
Q9UPQ9	TNRC6B
Q9UPR0	PLCL2
Q9UPR3	SMG5
Q9UPT5	EXOC7
Q9UPT8	ZC3H4
Q9UPT9	USP22
Q9UPU5	USP24
Q9UPU7	TBC1D2B
Q9UPV0	CEP164
Q9UPW5	AGTPBP1
Q9UPW6	SATB2
Q9UPY3	DICER1
Q9UPY5	SLC7A11
Q9UPY8	MAPRE3
Q9UPZ3	HPS5
Q9UQ13	SHOC2
Q9UQ16	DNM3
Q9UQ35	SRRM2
Q9UQ80	PA2G4
Q9UQ84	EXO1
Q9UQB8	BAIAP2
Q9UQE7	SMC3
Q9UQN3	CHMP2B
Q9UQR0	SCML2
Q9UQR1	ZNF148
Q9Y217	MTMR6
Q9Y221	NIP7
Q9Y223	GNE
Q9Y224	RTRAF
Q9Y230	RUVBL2
Q9Y232	CDYL
Q9Y237	PIN4
Q9Y241	HIGD1A
Q9Y243	AKT3
Q9Y244	POMP
Q9Y248	GINS2
Q9Y251	HPSE
Q9Y255	PRELID1
Q9Y262	EIF3L
Q9Y263	PLAA
Q9Y265	RUVBL1
Q9Y266	NUDC
Q9Y274	ST3GAL6
Q9Y276	BCS1L
Q9Y277	VDAC3
Q9Y281	CFL2
Q9Y282	ERGIC3
Q9Y285	FARSA
Q9Y287	ITM2B
Q9Y289	SLC5A6
Q9Y291	MRPS33
Q9Y294	ASF1A
Q9Y295	DRG1
Q9Y296	TRAPPC4
Q9Y297	BTRC
Q9Y2A7	NCKAP1
Q9Y2B0	CNPY2
Q9Y2B2	PIGL
Q9Y2C2	UST
Q9Y2C4	EXOG
Q9Y2D2	SLC35A3
Q9Y2D4	EXOC6B
Q9Y2D5	AKAP2
Q9Y2E5	MAN2B2
Q9Y2F5	ICE1
Q9Y2G5	POFUT2
Q9Y2G8	DNAJC16
Q9Y2H0	DLGAP4
Q9Y2H6	FNDC3A
Q9Y2I1	NISCH
Q9Y2I7	PIKFYVE
Q9Y2I8	WDR37
Q9Y2J2	EPB41L3
Q9Y2K7	KDM2A
Q9Y2L1	DIS3
Q9Y2L5	TRAPPC8
Q9Y2P8	RCL1
Q9Y2Q3	GSTK1
Q9Y2Q5	LAMTOR2
Q9Y2Q9	MRPS28
Q9Y2R0	COA3
Q9Y2R4	DDX52
Q9Y2R5	MRPS17
Q9Y2R9	MRPS7
Q9Y2S6	TMA7
Q9Y2S7	POLDIP2
Q9Y2T2	AP3M1
Q9Y2U8	LEMD3
Q9Y2V2	CARHSP1
Q9Y2V7	COG6
Q9Y2W1	THRAP3
Q9Y2W2	WBP11
Q9Y2W6	TDRKH
Q9Y2X0	MED16
Q9Y2X3	NOP58
Q9Y2X7	GIT1
Q9Y2X9	ZNF281
